University Name,LOGO,University Detail 
Harvard University,http://www.shanghairanking.com/_uni/logo/032bd1b77.png,http://www.shanghairanking.com/institution/harvard-university
Stanford University,http://www.shanghairanking.com/_uni/logo/13de8913b.png,http://www.shanghairanking.com/institution/stanford-university
Massachusetts Institute of Technology (MIT),http://www.shanghairanking.com/_uni/logo/79165fd8b.png,http://www.shanghairanking.com/institution/massachusetts-institute-of-technology-mit
University of Cambridge,http://www.shanghairanking.com/_uni/logo/8d9861b69.png,http://www.shanghairanking.com/institution/university-of-cambridge
"University of California, Berkeley",http://www.shanghairanking.com/_uni/logo/0ff179fb8.png,http://www.shanghairanking.com/institution/university-of-california-berkeley
Princeton University,http://www.shanghairanking.com/_uni/logo/b1dad5288.png,http://www.shanghairanking.com/institution/princeton-university
University of Oxford,http://www.shanghairanking.com/_uni/logo/c1d967477.png,http://www.shanghairanking.com/institution/university-of-oxford
Columbia University,http://www.shanghairanking.com/_uni/logo/ce3421720.png,http://www.shanghairanking.com/institution/columbia-university
California Institute of Technology,http://www.shanghairanking.com/_uni/logo/c956f3d98.png,http://www.shanghairanking.com/institution/california-institute-of-technology
University of Chicago,http://www.shanghairanking.com/_uni/logo/b4f6eec47.png,http://www.shanghairanking.com/institution/university-of-chicago
Yale University,http://www.shanghairanking.com/_uni/logo/5c6f4b7f6.png,http://www.shanghairanking.com/institution/yale-university
Cornell University,http://www.shanghairanking.com/_uni/logo/e6c9fdb3e.png,http://www.shanghairanking.com/institution/cornell-university
"University of California, Los Angeles",http://www.shanghairanking.com/_uni/logo/27bdc3879.png,http://www.shanghairanking.com/institution/university-of-california-los-angeles
Johns Hopkins University,http://www.shanghairanking.com/_uni/logo/6a65dac86.png,http://www.shanghairanking.com/institution/johns-hopkins-university
University of Pennsylvania,http://www.shanghairanking.com/_uni/logo/9cdff1ab0.png,http://www.shanghairanking.com/institution/university-of-pennsylvania
Paris-Saclay University,http://www.shanghairanking.com/_uni/logo/98e838fa6.png,http://www.shanghairanking.com/institution/paris-saclay-university
University of Washington,http://www.shanghairanking.com/_uni/logo/e37a45f2d.png,http://www.shanghairanking.com/institution/university-of-washington
University College London,http://www.shanghairanking.com/_uni/logo/9f3188b58.png,http://www.shanghairanking.com/institution/university-college-london
"University of California, San Francisco",http://www.shanghairanking.com/_uni/logo/5d107d88e.png,http://www.shanghairanking.com/institution/university-of-california-san-francisco
ETH Zurich,http://www.shanghairanking.com/_uni/logo/690aaf016.png,http://www.shanghairanking.com/institution/eth-zurich
"University of California, San Diego",http://www.shanghairanking.com/_uni/logo/3ef15c5ab.png,http://www.shanghairanking.com/institution/university-of-california-san-diego
University of Toronto,http://www.shanghairanking.com/_uni/logo/760dedb4f.png,http://www.shanghairanking.com/institution/university-of-toronto
Imperial College London,http://www.shanghairanking.com/_uni/logo/20b72ddaf.png,http://www.shanghairanking.com/institution/imperial-college-london
The University of Tokyo,http://www.shanghairanking.com/_uni/logo/68d505f23.png,http://www.shanghairanking.com/institution/the-university-of-tokyo
New York University,http://www.shanghairanking.com/_uni/logo/d254e1d21.png,http://www.shanghairanking.com/institution/new-york-university
Tsinghua University,http://www.shanghairanking.com/_uni/logo/27532357.png,http://www.shanghairanking.com/institution/tsinghua-university
Washington University in St. Louis,http://www.shanghairanking.com/_uni/logo/e4356564f.png,http://www.shanghairanking.com/institution/washington-university-in-st-louis
University of Michigan-Ann Arbor,http://www.shanghairanking.com/_uni/logo/5edf88399.png,http://www.shanghairanking.com/institution/university-of-michigan-ann-arbor
University of North Carolina at Chapel Hill,http://www.shanghairanking.com/_uni/logo/6f189065b.png,http://www.shanghairanking.com/institution/university-of-north-carolina-at-chapel-hill
Northwestern University,http://www.shanghairanking.com/_uni/logo/7e0da1019.png,http://www.shanghairanking.com/institution/northwestern-university
Duke University,http://www.shanghairanking.com/_uni/logo/793d0ba4d.png,http://www.shanghairanking.com/institution/duke-university
The University of Melbourne,http://www.shanghairanking.com/_uni/logo/741caa454.png,http://www.shanghairanking.com/institution/the-university-of-melbourne
University of Wisconsin - Madison,http://www.shanghairanking.com/_uni/logo/da433331f.png,http://www.shanghairanking.com/institution/university-of-wisconsin-madison
Peking University,http://www.shanghairanking.com/_uni/logo/86350223.png,http://www.shanghairanking.com/institution/peking-university
The University of Edinburgh,http://www.shanghairanking.com/_uni/logo/ce563e70b.png,http://www.shanghairanking.com/institution/the-university-of-edinburgh
Zhejiang University,http://www.shanghairanking.com/_uni/logo/88311656.png,http://www.shanghairanking.com/institution/zhejiang-university
The University of Texas at Austin,http://www.shanghairanking.com/_uni/logo/203d8cd87.png,http://www.shanghairanking.com/institution/the-university-of-texas-at-austin
The University of Manchester,http://www.shanghairanking.com/_uni/logo/ef5cc8934.png,http://www.shanghairanking.com/institution/the-university-of-manchester
University of Copenhagen,http://www.shanghairanking.com/_uni/logo/ba52788d7.png,http://www.shanghairanking.com/institution/university-of-copenhagen
PSL University,http://www.shanghairanking.com/_uni/logo-jpg/d47a74ad800.jpg,http://www.shanghairanking.com/institution/psl-university
Karolinska Institute,http://www.shanghairanking.com/_uni/logo/826acd5a2.png,http://www.shanghairanking.com/institution/karolinska-institute
Kyoto University,http://www.shanghairanking.com/_uni/logo/ac21f9c26.png,http://www.shanghairanking.com/institution/kyoto-university
Sorbonne University,http://www.shanghairanking.com/_uni/logo/f900e4997.png,http://www.shanghairanking.com/institution/sorbonne-university
Rockefeller University,http://www.shanghairanking.com/_uni/logo/22e351bb0.png,http://www.shanghairanking.com/institution/rockefeller-university
University of British Columbia,http://www.shanghairanking.com/_uni/logo/38ff70adf.png,http://www.shanghairanking.com/institution/university-of-british-columbia
"University of Minnesota, Twin Cities",http://www.shanghairanking.com/_uni/logo/7f9e67da9.png,http://www.shanghairanking.com/institution/university-of-minnesota-twin-cities
The University of Queensland,http://www.shanghairanking.com/_uni/logo/9d6b97a7c.png,http://www.shanghairanking.com/institution/the-university-of-queensland
King's College London,http://www.shanghairanking.com/_uni/logo/7c3673100.png,http://www.shanghairanking.com/institution/kings-college-london
University of Illinois at Urbana-Champaign,http://www.shanghairanking.com/_uni/logo/49df86f43.png,http://www.shanghairanking.com/institution/university-of-illinois-at-urbana-champaign
"University of Maryland, College Park",http://www.shanghairanking.com/_uni/logo/0eeb3a1e0.png,http://www.shanghairanking.com/institution/university-of-maryland-college-park
University of Colorado at Boulder,http://www.shanghairanking.com/_uni/logo/41aff2fed.png,http://www.shanghairanking.com/institution/university-of-colorado-at-boulder
The University of Texas Southwestern Medical Center at Dallas,http://www.shanghairanking.com/_uni/logo/8ab040a7d.png,http://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas
University of Southern California,http://www.shanghairanking.com/_uni/logo/f94b07167.png,http://www.shanghairanking.com/institution/university-of-southern-california
Shanghai Jiao Tong University,http://www.shanghairanking.com/_uni/logo/27403919.png,http://www.shanghairanking.com/institution/shanghai-jiao-tong-university
Utrecht University,http://www.shanghairanking.com/_uni/logo/5063041ca.png,http://www.shanghairanking.com/institution/utrecht-university
Technical University of Munich,http://www.shanghairanking.com/_uni/logo/3d748c924.png,http://www.shanghairanking.com/institution/technical-university-of-munich
"University of California, Santa Barbara",http://www.shanghairanking.com/_uni/logo-jpg/63f81166100.jpg,http://www.shanghairanking.com/institution/university-of-california-santa-barbara
University of Munich,http://www.shanghairanking.com/_uni/logo/6d76dd8bd.png,http://www.shanghairanking.com/institution/university-of-munich
University of Zurich,http://www.shanghairanking.com/_uni/logo/897c2afe4.png,http://www.shanghairanking.com/institution/university-of-zurich
University of Sydney,http://www.shanghairanking.com/_uni/logo/6f7db18c8.png,http://www.shanghairanking.com/institution/university-of-sydney
"University of California, Irvine",http://www.shanghairanking.com/_uni/logo/b1df85949.png,http://www.shanghairanking.com/institution/university-of-california-irvine
University of Geneva,http://www.shanghairanking.com/_uni/logo/7cd1dc0d1.png,http://www.shanghairanking.com/institution/university-of-geneva
University of Science and Technology of China,http://www.shanghairanking.com/_uni/logo/50132214.png,http://www.shanghairanking.com/institution/university-of-science-and-technology-of-china
The University of New South Wales,http://www.shanghairanking.com/_uni/logo/269ebda14.png,http://www.shanghairanking.com/institution/the-university-of-new-south-wales
Vanderbilt University,http://www.shanghairanking.com/_uni/logo/bb01ff238.png,http://www.shanghairanking.com/institution/vanderbilt-university
University of Groningen,http://www.shanghairanking.com/_uni/logo/cb5787d1f.png,http://www.shanghairanking.com/institution/university-of-groningen
Fudan University,http://www.shanghairanking.com/_uni/logo/28312850.png,http://www.shanghairanking.com/institution/fudan-university
University of Oslo,http://www.shanghairanking.com/_uni/logo/2d1aa99b3.png,http://www.shanghairanking.com/institution/university-of-oslo
Aarhus University,http://www.shanghairanking.com/_uni/logo/0ec23abb4.png,http://www.shanghairanking.com/institution/aarhus-university
Heidelberg University,http://www.shanghairanking.com/_uni/logo/c1b74c074.png,http://www.shanghairanking.com/institution/heidelberg-university
National University of Singapore,http://www.shanghairanking.com/_uni/logo/31943e0cb.png,http://www.shanghairanking.com/institution/national-university-of-singapore
The University of Texas M. D. Anderson Cancer Center,http://www.shanghairanking.com/_uni/logo/1100fcdc8.png,http://www.shanghairanking.com/institution/the-university-of-texas-m-d-anderson-cancer-center
McGill University,http://www.shanghairanking.com/_uni/logo/88d833c3e.png,http://www.shanghairanking.com/institution/mcgill-university
Ghent University,http://www.shanghairanking.com/_uni/logo/a05682830.png,http://www.shanghairanking.com/institution/ghent-university
Monash University,http://www.shanghairanking.com/_uni/logo/6d8339a6f.png,http://www.shanghairanking.com/institution/monash-university
University of Bonn,http://www.shanghairanking.com/_uni/logo/68c81f6c8.png,http://www.shanghairanking.com/institution/university-of-bonn
The Hebrew University of Jerusalem,http://www.shanghairanking.com/_uni/logo/ee11c32f8.png,http://www.shanghairanking.com/institution/the-hebrew-university-of-jerusalem
Université Paris Cité,http://www.shanghairanking.com/_uni/logo-jpg/a37a44c0a00.jpg,http://www.shanghairanking.com/institution/university-of-paris
Sun Yat-sen University,http://www.shanghairanking.com/_uni/logo/46293852.png,http://www.shanghairanking.com/institution/sun-yat-sen-university
The Australian National University,http://www.shanghairanking.com/_uni/logo/e6233a5b3.png,http://www.shanghairanking.com/institution/the-australian-national-university
University of Bristol,http://www.shanghairanking.com/_uni/logo/73d83b1e4.png,http://www.shanghairanking.com/institution/university-of-bristol
University of Pittsburgh,http://www.shanghairanking.com/_uni/logo/bfcc56ad8.png,http://www.shanghairanking.com/institution/university-of-pittsburgh
Purdue University - West Lafayette,http://www.shanghairanking.com/_uni/logo/2ef5fbfcc.png,http://www.shanghairanking.com/institution/purdue-university-west-lafayette
Technion-Israel Institute of Technology,http://www.shanghairanking.com/_uni/logo/547232002.png,http://www.shanghairanking.com/institution/technion-israel-institute-of-technology
University of Basel,http://www.shanghairanking.com/_uni/logo/4b95c2a51.png,http://www.shanghairanking.com/institution/university-of-basel
Weizmann Institute of Science,http://www.shanghairanking.com/_uni/logo/f5dfa93ce.png,http://www.shanghairanking.com/institution/weizmann-institute-of-science
Erasmus University Rotterdam,http://www.shanghairanking.com/_uni/logo/7dc2ef049.png,http://www.shanghairanking.com/institution/erasmus-university-rotterdam
Nanyang Technological University,http://www.shanghairanking.com/_uni/logo/f3d48b4a3.png,http://www.shanghairanking.com/institution/nanyang-technological-university
Uppsala University,http://www.shanghairanking.com/_uni/logo/8e0a7d1d4.png,http://www.shanghairanking.com/institution/uppsala-university
McMaster University,http://www.shanghairanking.com/_uni/logo/0f693978a.png,http://www.shanghairanking.com/institution/mcmaster-university
Stockholm University,http://www.shanghairanking.com/_uni/logo/bd0e71ccb.png,http://www.shanghairanking.com/institution/stockholm-university
University of Alberta,http://www.shanghairanking.com/_uni/logo/f1242c7ae.png,http://www.shanghairanking.com/institution/university-of-alberta
University of Helsinki,http://www.shanghairanking.com/_uni/logo/174aa57e2.png,http://www.shanghairanking.com/institution/university-of-helsinki
University of Florida,http://www.shanghairanking.com/_uni/logo/a1fc569d1.png,http://www.shanghairanking.com/institution/university-of-florida
KU Leuven,http://www.shanghairanking.com/_uni/logo/666263d88.png,http://www.shanghairanking.com/institution/ku-leuven
Huazhong University of Science and Technology,http://www.shanghairanking.com/_uni/logo/69664504.png,http://www.shanghairanking.com/institution/huazhong-university-of-science-and-technology
The University of Hong Kong,http://www.shanghairanking.com/_uni/logo/cbf530ad3.png,http://www.shanghairanking.com/institution/the-university-of-hong-kong
Seoul National University,http://www.shanghairanking.com/_uni/logo/4d302fc4e.png,http://www.shanghairanking.com/institution/seoul-national-university
Brown University,http://www.shanghairanking.com/_uni/logo/3d8b527ff.png,http://www.shanghairanking.com/institution/brown-university
The University of Western Australia,http://www.shanghairanking.com/_uni/logo/535124d88.png,http://www.shanghairanking.com/institution/the-university-of-western-australia
Aix Marseille University,http://www.shanghairanking.com/_uni/logo/db573f4a7.png,http://www.shanghairanking.com/institution/aix-marseille-university
Arizona State University,http://www.shanghairanking.com/_uni/logo/4b703d82d.png,http://www.shanghairanking.com/institution/arizona-state-university
Boston University,http://www.shanghairanking.com/_uni/logo/cbbf3b6e2.png,http://www.shanghairanking.com/institution/boston-university
Carnegie Mellon University,http://www.shanghairanking.com/_uni/logo/e1f857b46.png,http://www.shanghairanking.com/institution/carnegie-mellon-university
Case Western Reserve University,http://www.shanghairanking.com/_uni/logo/885955e6b.png,http://www.shanghairanking.com/institution/case-western-reserve-university
Central South University,http://www.shanghairanking.com/_uni/logo/65984093.png,http://www.shanghairanking.com/institution/central-south-university
Emory University,http://www.shanghairanking.com/_uni/logo/7489183e0.png,http://www.shanghairanking.com/institution/emory-university
Icahn School of Medicine at Mount Sinai,http://www.shanghairanking.com/_uni/logo-jpg/a23fc3bb300.jpg,http://www.shanghairanking.com/institution/icahn-school-of-medicine-at-mount-sinai
Indiana University Bloomington,http://www.shanghairanking.com/_uni/logo/7a6b45fcc.png,http://www.shanghairanking.com/institution/indiana-university-bloomington
King Abdulaziz University,http://www.shanghairanking.com/_uni/logo-jpg/ca4482ae600.jpg,http://www.shanghairanking.com/institution/king-abdulaziz-university
King Saud University,http://www.shanghairanking.com/_uni/logo/a8ed57dd5.png,http://www.shanghairanking.com/institution/king-saud-university
Leiden University,http://www.shanghairanking.com/_uni/logo/970699879.png,http://www.shanghairanking.com/institution/leiden-university
London School of Economics and Political Science,http://www.shanghairanking.com/_uni/logo/21a6b0778.png,http://www.shanghairanking.com/institution/london-school-of-economics-and-political-science
Mayo Clinic Alix School of Medicine,http://www.shanghairanking.com/_uni/logo-jpg/d60a8d8e800.jpg,http://www.shanghairanking.com/institution/mayo-clinic-alix-school-of-medicine
Moscow State University,http://www.shanghairanking.com/_uni/logo/98123a275.png,http://www.shanghairanking.com/institution/moscow-state-university
Nagoya University,http://www.shanghairanking.com/_uni/logo/958492796.png,http://www.shanghairanking.com/institution/nagoya-university
Nanjing University,http://www.shanghairanking.com/_uni/logo/44696062.png,http://www.shanghairanking.com/institution/nanjing-university
Norwegian University of Science and Technology - NTNU,http://www.shanghairanking.com/_uni/logo/5cbe779ad.png,http://www.shanghairanking.com/institution/norwegian-university-of-science-and-technology-ntnu
Radboud University Nijmegen,http://www.shanghairanking.com/_uni/logo/6759d15cf.png,http://www.shanghairanking.com/institution/radboud-university-nijmegen
Rice University,http://www.shanghairanking.com/_uni/logo/3bd736da6.png,http://www.shanghairanking.com/institution/rice-university
"Rutgers, The State University of New Jersey - New Brunswick",http://www.shanghairanking.com/_uni/logo/c01c983b9.png,http://www.shanghairanking.com/institution/rutgers-the-state-university-of-new-jersey-new-brunswick
Sapienza University of Rome,http://www.shanghairanking.com/_uni/logo/7ecaa1198.png,http://www.shanghairanking.com/institution/sapienza-university-of-rome
Sichuan University,http://www.shanghairanking.com/_uni/logo/75651370.png,http://www.shanghairanking.com/institution/sichuan-university
Swiss Federal Institute of Technology Lausanne,http://www.shanghairanking.com/_uni/logo/1946ead7f.png,http://www.shanghairanking.com/institution/swiss-federal-institute-of-technology-lausanne
The Chinese University of Hong Kong,http://www.shanghairanking.com/_uni/logo/d7b4fe8fe.png,http://www.shanghairanking.com/institution/the-chinese-university-of-hong-kong
The Ohio State University - Columbus,http://www.shanghairanking.com/_uni/logo/1ccdfc090.png,http://www.shanghairanking.com/institution/the-ohio-state-university-columbus
Pennsylvania State University - University Park,http://www.shanghairanking.com/_uni/logo/1069b7da2.png,http://www.shanghairanking.com/institution/pennsylvania-state-university-university-park
The University of Adelaide,http://www.shanghairanking.com/_uni/logo/13e383993.png,http://www.shanghairanking.com/institution/the-university-of-adelaide
The University of Glasgow,http://www.shanghairanking.com/_uni/logo-jpg/f072bed2b00.jpg,http://www.shanghairanking.com/institution/the-university-of-glasgow
